"630-HEDS-5605-A06","HEDS-5605#A06","Avago Technologies","Encoders 2 Channel 500 CPR 1/4in Metal CW","Page 1,791Data Sheet",47.21,"Encoders Kits","Incremental",500,,2,"Screw",,"Quadrature with Index",,,"5 V","- 40 C to + 100 C"
"774-288X232R161B2","288X232R161B2","CTS Electronic Components","Encoders Bush .25"" 1"" shft Round 16 com","Data Sheet",2.97,"Mechanical Encoders","Incremental",16,,,"Through Hole","PCB","Quadrature","Slotted","With",,"- 25 C to + 100 C"
"652-PEC11-4220F-S12","PEC11-4220F-S0012","Bourns","Encoders SWITCH 24 DETLearn More","Page 1,793
Data Sheet",1.85,,"Incremental",12,24,,,"Solder Pin","2 bit Gray Code","Metal Flatted","With Push Switch",,
"630-HEDS-5540-A06","HEDS-5540#A06","Avago Technologies","Encoders 3 Channel 500 CPR 1/4in Metal CW","Page 1,791Data Sheet",47.21,"Encoders Kits","Incremental",500,,3,"Screw","Solder Pin","Quadrature with Index",,,"5 V","- 40 C to + 100 C"
"667-EVE-KD2F3024M","EVE-KD2F3024M","Panasonic Electronic Components","Encoders 12 mm Square GS 24pulse 24detentLearn More","Page 1,792Data Sheet",1.05,"Mechanical Encoders","Incremental",24,24,,"Through Hole","Solder Pin","Quadrature","Flatted","Without",,"- 10 C to + 60 C"
"630-HEDS-5540-A12","HEDS-5540#A12","Avago Technologies","Encoders 3 Channel 500 CPR 6mm Metal CW","Data Sheet",47.21,"Encoders Kits","Incremental",500,,3,"Screw","Solder Pin","Quadrature with Index",,,"5 V","- 40 C to + 100 C"
"630-HRPG-AD32-13R","HRPG-AD32#13R","Avago Technologies","Encoders RPG Detent 32CPR","Page 1,791Data Sheet",30.4,"Optical Encoders","Incremental",32,,2,"Panel","Solder Pin",,"Flatted",,"4.5 V to 5.5 V","0 C to + 70 C"
"667-EVE-GC2F2524M","EVE-GC2F2524M","Panasonic Electronic Components","Encoders 12 mm Square GS 24pulse 24 no detentLearn More","Page 1,792Data Sheet",1.05,"Mechanical Encoders","Incremental",24,24,,"Through Hole","Solder Pin","Quadrature","Flatted","Without",,"- 10 C to + 60 C"
"630-HEDS-5600-A06","HEDS-5600#A06","Avago Technologies","Encoders 2 Channel 500 CPR 1/4in Metal CW","Page 1,791Data Sheet",47.21,"Encoders Kits","Incremental",500,,2,"Cable","Solder Pin","Quadrature with Index",,,"5 V","- 40 C to + 100 C"
"630-AEDA-3300-TAQ","AEDA-3300-TAQ","Avago Technologies","Encoders 3 Channel 4000 CPR Top Mount","Data Sheet",160.08,"Encoders Kits","Incremental",4000,,3,"PCB","Solder Pin",,,,"5 V",
"630-HEDS-5500-A14","HEDS-5500#A14","Avago Technologies","Encoders 2 Channel 500 CPR 5mm Metal CW","Data Sheet",47.21,"Encoders Kits","Incremental",500,,2,"Screw","Solder Pin","Quadrature with Index",,,"5 V","- 40 C to + 100 C"
"630-HEDM-5500-B11","HEDM-5500#B11","Avago Technologies","Encoders 2 Channel 1000 CPR 4mm Film CW","Page 1,791Data Sheet",47.21,"Encoders Kits","Incremental",1000,,2,"Cable","Solder Pin","Quadrature with Index",,,"5 V","- 40 C to + 100 C"
"652-PEC11L4220FS0015","PEC11L-4220F-S0015","Bourns","Encoders FLATTED SHAFT PUSH SWTCH 30DETENTSLearn More","Page 1,793Data Sheet",2.27,"Mechanical Encoders","Incremental",15,30,,"SMD/SMT","Solder Terminal","2 bit Gray Code","Metal Flatted","With Push Momentary",,"- 30 C to + 70 C"
"630-HRPG-AD32-16F","HRPG-AD32#16F","Avago Technologies","Encoders RPG Detent 32CPR","Data Sheet",30.4,"Optical Encoders","Incremental",32,,2,"Panel","Solder Pin","Quadrature",,,,
"630-HRPG-ASCA-14R","HRPG-ASCA#14R","Avago Technologies","Encoders RPG SMT 120CPR","Page 1,791Data Sheet",30.4,"Optical Encoders","Incremental",120,,2,"Panel","Solder Pin",,"Round",,"4.5 V to 5.5 V","0 C to + 70 C"
